text,disaster_type,priority,category
"Jacksonville, FL: Smoke impacts worsening; AQI over 180; distribute N95 masks.",wildfire,medium,air_quality
"Houston, TX: Highway closed due to poor visibility; reroute traffic.",wildfire,medium,road_closure
"San Antonio, TX: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"San Antonio, TX: Waterborne illness concerns after sewer overflow; clinics on alert.",flood,high,medical
"Charleston, SC: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Austin, TX: Community shelter opened at high school gym; capacity at 60%.",flood,medium,shelter
"Miami, FL: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Miami, FL: Flooded roadway reported; barricades installed; avoid underpasses.",flood,medium,road_closure
"New Orleans, LA: Flooded roadway reported; barricades installed; avoid underpasses.",flood,medium,road_closure
"Jacksonville, FL: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Miami, FL: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Houston, TX: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Charleston, SC: Additional crews requested for perimeter containment.",wildfire,low,resource_allocation
"Charleston, SC: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Austin, TX: Highway closed due to poor visibility; reroute traffic.",wildfire,medium,road_closure
"Houston, TX: Community shelter opened at high school gym; capacity at 60%.",flood,medium,shelter
"Charleston, SC: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Jacksonville, FL: Flooded roadway reported; barricades installed; avoid underpasses.",flood,medium,road_closure
"San Diego, CA: Flooded roadway reported; barricades installed; avoid underpasses.",flood,medium,road_closure
"Austin, TX: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Houston, TX: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Dallas, TX: Community shelter opened at high school gym; capacity at 60%.",flood,medium,shelter
"Houston, TX: Smoke impacts worsening; AQI over 180; distribute N95 masks.",wildfire,medium,air_quality
"San Diego, CA: Fast-moving fire near homes; evacuation order for Zone C.",wildfire,high,evacuation
"Dallas, TX: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Miami, FL: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Austin, TX: Waterborne illness concerns after sewer overflow; clinics on alert.",flood,high,medical
"Miami, FL: Community shelter opened at high school gym; capacity at 60%.",flood,medium,shelter
"Charleston, SC: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Phoenix, AZ: Smoke impacts worsening; AQI over 180; distribute N95 masks.",wildfire,medium,air_quality
"Miami, FL: Smoke impacts worsening; AQI over 180; distribute N95 masks.",wildfire,medium,air_quality
"Miami, FL: Flooded roadway reported; barricades installed; avoid underpasses.",flood,medium,road_closure
"Miami, FL: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Charleston, SC: Waterborne illness concerns after sewer overflow; clinics on alert.",flood,high,medical
"San Diego, CA: Highway closed due to poor visibility; reroute traffic.",wildfire,medium,road_closure
"Los Angeles, CA: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Los Angeles, CA: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Tampa, FL: Additional crews requested for perimeter containment.",wildfire,low,resource_allocation
"Charleston, SC: Substation impacted by floodwater; outage across several blocks.",flood,medium,power_outage
"Charleston, SC: Highway closed due to poor visibility; reroute traffic.",wildfire,medium,road_closure
"Charleston, SC: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Phoenix, AZ: Community shelter opened at high school gym; capacity at 60%.",flood,medium,shelter
"Miami, FL: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Houston, TX: Preventive shutoff to reduce ignition risk; cooling centers open.",wildfire,medium,power_outage
"Dallas, TX: Rising water near homes; voluntary evacuations recommended for Zone A.",flood,high,evacuation
"Tampa, FL: Highway closed due to poor visibility; reroute traffic.",wildfire,medium,road_closure
